primary_key,codes,Perm_crop,year,area_ha
1,PT,Total,1989,789415
2,PT,Total,1999,711628
3,PT,Total,2009,690725
4,PT,Total,2019,860663
5,PT,Frutos frescos (excepto citrinos),1989,76266
6,PT,Frutos frescos (excepto citrinos),1999,52746
7,PT,Frutos frescos (excepto citrinos),2009,40127
8,PT,Frutos frescos (excepto citrinos),2019,51674
9,PT,Citrinos,1989,26759
10,PT,Citrinos,1999,23453
11,PT,Citrinos,2009,16930
12,PT,Citrinos,2019,19613
13,PT,Frutos sub-tropicais,1989,3047
14,PT,Frutos sub-tropicais,1999,2612
15,PT,Frutos sub-tropicais,2009,3048
16,PT,Frutos sub-tropicais,2019,7702
17,PT,Frutos de casca rija,1989,73860
18,PT,Frutos de casca rija,1999,80470
19,PT,Frutos de casca rija,2009,115150
20,PT,Frutos de casca rija,2019,228707
21,PT,Olival,1989,340514
22,PT,Olival,1999,335028
23,PT,Olival,2009,335841
24,PT,Olival,2019,377234
25,PT,Vinha,1989,266326
26,PT,Vinha,1999,215041
27,PT,Vinha,2009,177831
28,PT,Vinha,2019,173254
29,PT,Outras culturas permanentes,1989,2643
30,PT,Outras culturas permanentes,1999,2277
31,PT,Outras culturas permanentes,2009,1799
32,PT,Outras culturas permanentes,2019,2477
33,1,Total,1989,780966
34,1,Total,1999,705232
35,1,Total,2009,686221
36,1,Total,2019,855767
37,1,Frutos frescos (excepto citrinos),1989,75715
38,1,Frutos frescos (excepto citrinos),1999,52342
39,1,Frutos frescos (excepto citrinos),2009,39746
40,1,Frutos frescos (excepto citrinos),2019,51292
41,1,Citrinos,1989,25598
42,1,Citrinos,1999,22428
43,1,Citrinos,2009,16389
44,1,Citrinos,2019,19146
45,1,Frutos sub-tropicais,1989,1042
46,1,Frutos sub-tropicais,1999,1197
47,1,Frutos sub-tropicais,2009,1764
48,1,Frutos sub-tropicais,2019,6145
49,1,Frutos de casca rija,1989,73738
50,1,Frutos de casca rija,1999,80281
51,1,Frutos de casca rija,2009,114980
52,1,Frutos de casca rija,2019,228487
53,1,Olival,1989,340514
54,1,Olival,1999,335028
55,1,Olival,2009,335841
56,1,Olival,2019,377234
57,1,Vinha,1989,262025
58,1,Vinha,1999,211821
59,1,Vinha,2009,175773
60,1,Vinha,2019,171111
61,1,Outras culturas permanentes,1989,2334
62,1,Outras culturas permanentes,1999,2135
63,1,Outras culturas permanentes,2009,1728
64,1,Outras culturas permanentes,2019,2351
65,11,Total,1989,223736
66,11,Total,1999,228323
67,11,Total,2009,218545
68,11,Total,2019,255954
69,11,Frutos frescos (excepto citrinos),1989,10696
70,11,Frutos frescos (excepto citrinos),1999,10919
71,11,Frutos frescos (excepto citrinos),2009,9420
72,11,Frutos frescos (excepto citrinos),2019,13815
73,11,Citrinos,1989,1421
74,11,Citrinos,1999,1281
75,11,Citrinos,2009,923
76,11,Citrinos,2019,1257
77,11,Frutos sub-tropicais,1989,627
78,11,Frutos sub-tropicais,1999,783
79,11,Frutos sub-tropicais,2009,1169
80,11,Frutos sub-tropicais,2019,2619
81,11,Frutos de casca rija,1989,38696
82,11,Frutos de casca rija,1999,47008
83,11,Frutos de casca rija,2009,47902
84,11,Frutos de casca rija,2019,73849
85,11,Olival,1989,64410
86,11,Olival,1999,73414
87,11,Olival,2009,76147
88,11,Olival,2019,82777
89,11,Vinha,1989,107668
90,11,Vinha,1999,94524
91,11,Vinha,2009,82615
92,11,Vinha,2019,81411
93,11,Outras culturas permanentes,1989,218
94,11,Outras culturas permanentes,1999,393
95,11,Outras culturas permanentes,2009,370
96,11,Outras culturas permanentes,2019,226
97,111,Total,1989,7040
98,111,Total,1999,5946
99,111,Total,2009,5115
100,111,Total,2019,6483
101,111,Frutos frescos (excepto citrinos),1989,259
102,111,Frutos frescos (excepto citrinos),1999,188
103,111,Frutos frescos (excepto citrinos),2009,109
104,111,Frutos frescos (excepto citrinos),2019,274
105,111,Citrinos,1989,118
106,111,Citrinos,1999,52
107,111,Citrinos,2009,64
108,111,Citrinos,2019,81
109,111,Frutos sub-tropicais,1989,71
110,111,Frutos sub-tropicais,1999,75
111,111,Frutos sub-tropicais,2009,121
112,111,Frutos sub-tropicais,2019,119
113,111,Frutos de casca rija,1989,45
114,111,Frutos de casca rija,1999,97
115,111,Frutos de casca rija,2009,188
116,111,Frutos de casca rija,2019,593
117,111,Olival,1989,443
118,111,Olival,1999,120
119,111,Olival,2009,184
120,111,Olival,2019,187
121,111,Vinha,1989,6043
122,111,Vinha,1999,5365
123,111,Vinha,2009,4427
124,111,Vinha,2019,5187
125,111,Outras culturas permanentes,1989,60
126,111,Outras culturas permanentes,1999,48
127,111,Outras culturas permanentes,2009,20
128,111,Outras culturas permanentes,2019,42
129,1111601,Total,1989,888
130,1111601,Total,1999,860
131,1111601,Total,2009,527
132,1111601,Total,2019,613
133,1111601,Frutos frescos (excepto citrinos),1989,12
134,1111601,Frutos frescos (excepto citrinos),1999,7
135,1111601,Frutos frescos (excepto citrinos),2009,6
136,1111601,Frutos frescos (excepto citrinos),2019,27
137,1111601,Citrinos,1989,11
138,1111601,Citrinos,1999,6
139,1111601,Citrinos,2009,5
140,1111601,Citrinos,2019,5
141,1111601,Frutos sub-tropicais,1989,0
142,1111601,Frutos sub-tropicais,1999,3
143,1111601,Frutos sub-tropicais,2009,0
144,1111601,Frutos sub-tropicais,2019,3
145,1111601,Frutos de casca rija,1989,4
146,1111601,Frutos de casca rija,1999,21
